FIPS,perc_area,apples,cherries,tart_cherries,Peaches,Pears,Plums,Almonds,Pecans,Walnuts
1001,0.4,0,0,0,0,0,0,0,90.3,0
1003,1.04,0.29,0,0,0,1.15,0,0,86.6,0
1005,1.39,0,0,0,0,0.14,0,0,99.18,0
1007,0.13,0,0,0,0,0,0,0,0,0
1009,0.81,3.34,0,0,87.53,1.79,1.85,0,0,0
1011,2.2,0,0,0.08,0,0,0,0,0,0
1013,2.52,0,0,0,0,0,0,0,99.15,0
1015,0.2,0,0,0,0,7.14,0,0,48.39,0
1017,0.19,5.96,0,0,3.67,7.8,0.92,0,59.63,0
1019,0.04,49.52,0,0,0,18.53,0,0,18.53,0
1021,7.98,0.4,0,0,92.3,0,1.88,0,3.37,0
1023,0.91,0,0,0,39.15,0,0,0,0,0
1025,0.58,5.2,0,0,4.77,0,0,0,85.69,0
1027,0.22,17.47,0,0,17.72,0,0,0,22.78,6.84
1029,0,0,0,0,0,0,0,0,0,0
1031,0.5,0,0,0,0,2.8,0,0,88.42,0
1033,0.04,0,0,0,0,0,0,0,0,0
1035,0.62,0,0,0,0,0,0,0,48.55,0
1037,0.68,15.44,0,0,33.59,10.42,0,0,9.27,0
1039,1.34,0.18,0,0,0,0,0,0,0,0
1041,0.97,1.4,0,0,0.34,0.73,0.24,0,93.42,0
1043,0.53,7.12,0,0,32.1,0.22,0,0,60.01,0
1045,0.6,0,0,0,0.4,1.03,0.26,0,83.98,0
1047,0.15,0,0,0,13.62,0,7.69,0,0,0
1049,0.1,6.14,0,0,56.68,0.84,0.6,0,0,0
1051,0.14,0,0,0,25.25,0,0,0,55.23,0
1053,0.11,0,0,0,0,0,0,0,0,0
1055,0.38,8.38,0,0,3.74,0,0,0,7.4,0
1057,0.05,0,0,0,0,6.17,6.17,0,48.15,0
1059,0.02,33.33,0,0,0,0,0,0,0,0
1061,0.73,0,0,0,0,0.36,0,0,95.23,0
1063,0,0,0,0,0,0,0,0,0,0
1065,0.02,0,0,0,0,45.45,0,0,0,0
1067,0.31,0,0,0,0,0,0,0,0,0
1069,0.41,0,0,0,0.07,0,0.07,0,0,0
1071,0.12,0,0,0,0,2.16,1.12,0,0,0
1073,0.55,17.75,0,0,0,16.45,0,0,15.14,0
1075,0.81,0,0,0,0,0,0,0,0,0
1077,0.03,5.79,5.79,0,0,7.34,5.79,0,0,0
1079,0.02,19.5,0,0,25.79,5.97,17.92,0,0,0
1081,1.23,1.06,0,0,1.3,3.02,0.48,0,82.14,0
1083,0.1,24.28,0,0,0,2.62,0,0,41.79,0
1085,0,0,0,0,0,0,0,0,0,0
1087,1.54,19.06,0,0,0,0.49,0.29,0,71.45,0
1089,0.14,3.93,0,0,1.68,4.29,0,0,72.33,0
1091,0.22,0,0,0,0,0,0,0,83.81,0
1093,0.04,0,0,0,0,0,0,0,0,0
1095,0.24,6.69,0.48,0,0,0,3.03,0,0,0
1097,3.4,0.36,0.02,0,0,0.65,1.56,0,84.21,0
1099,0.35,0,0,0,0,0,0,0,0,0
1101,0.24,6.5,0,0,0,4.33,0,0,84.53,0
1103,0.6,5.22,0,0.09,35.91,2.83,0.09,0,52.33,0
1105,0.1,9.19,0,0,9.19,9.19,9.19,0,54.04,0
1107,0,0,0,0,0,0,0,0,0,0
1109,1.9,0,0,0,0,0,0,0,0,0
1111,0.98,3.35,0,0,0,0,0,0,95.54,0
1113,0.79,0,0,0,0,0.51,0,0,0,0
1115,0.54,17.24,0,0,22,7.25,0.97,0,39.65,0.97
1117,0.37,20.8,0,0,0,4.59,2.14,0,0,0
1119,0.05,0,0,0,0,40,20,0,0,0
1121,0.13,0,0,0,10.33,0,0,0,0,0
1123,0.92,4.66,0,0,0,4.23,0,0,0,0
1125,0.12,29.94,0,0,0,0,0,0,0,0
1127,0.07,47.71,0,0,0,34.86,0,0,0,0
1129,0.31,14.57,0,0,0,14.8,13.45,0,0,0
1131,0.06,0,0,0,34.16,9.32,14.91,0,9.32,0
1133,0.16,25.81,0,0,8.39,8.39,0,0,8.39,0
2010,0.01,0,0,0,0,0,0,0,0,0
2020,0.12,75.94,0,0,0,0,0,0,0,0
2090,0.04,52.91,0,0,0,0,0,0,0,0
2110,3.26,0,0,0,0,0,0,0,0,0
2122,0.54,74.38,0,16.88,0,0,0,0,0,0
4001,0.06,55.56,0,0,8.89,16.89,0,0,0,0
4003,20.01,0.12,0,0,0.07,0,0.01,0,65.87,0
4005,0.2,63.01,0,0,0,0,0,0,0,0
4007,3.37,41.34,3,0,0,1.73,0.69,0,0,0
4009,3.38,0,0,0,0.61,0,0,0,0,0
4011,0.08,0,0,0,0,0,0,0,100,0
4012,0,0,0,0,0,0,0,0,0,0
4013,0,0,0,0,0,0,0,0,0,0
4015,9.97,0.31,0,0,0.27,0,0.01,0,0,0
4017,0.12,22.07,2.82,0,21.13,0,0,0,0,0
4019,0,0,0,0,0,0,0,0,0,0
4021,1.28,0.54,0,0,0,0,0,0,0,0
