State,state_n,County,coutny_n,pist
ARIZONA,4,MOHAVE,15,996
ARIZONA,4,YAVAPAI,25,0
ARIZONA,4,COCHISE,3,"8,674"
ARIZONA,4,GRAHAM,9,0
ARIZONA,4,MARICOPA,13,260
ARIZONA,4,PIMA,19,0
CALIFORNIA,6,ALAMEDA,1,0
CALIFORNIA,6,CONTRA COSTA,13,0
CALIFORNIA,6,MONTEREY,53,0
CALIFORNIA,6,SAN BENITO,69,0
CALIFORNIA,6,SAN LUIS OBISPO,79,106
CALIFORNIA,6,SONOMA,97,0
CALIFORNIA,6,BUTTE,7,"1,226"
CALIFORNIA,6,COLUSA,11,"1,558"
CALIFORNIA,6,GLENN,21,"2,934"
CALIFORNIA,6,SACRAMENTO,67,0
CALIFORNIA,6,SOLANO,95,73
CALIFORNIA,6,SUTTER,101,"1,430"
CALIFORNIA,6,TEHAMA,103,0
CALIFORNIA,6,YOLO,113,"3,815"
CALIFORNIA,6,FRESNO,19,"149,845"
CALIFORNIA,6,KERN,29,"170,057"
CALIFORNIA,6,KINGS,31,"49,948"
CALIFORNIA,6,MADERA,39,"51,601"
CALIFORNIA,6,MERCED,47,"18,135"
CALIFORNIA,6,SAN JOAQUIN,77,"1,876"
CALIFORNIA,6,STANISLAUS,99,"3,469"
CALIFORNIA,6,TULARE,107,"57,544"
CALIFORNIA,6,EL DORADO,17,0
CALIFORNIA,6,PLACER,61,25
CALIFORNIA,6,SHASTA,89,13
CALIFORNIA,6,LOS ANGELES,37,0
CALIFORNIA,6,ORANGE,59,0
CALIFORNIA,6,SAN BERNARDINO,71,529
CALIFORNIA,6,SAN DIEGO,73,0
CALIFORNIA,6,SANTA BARBARA,83,621
CALIFORNIA,6,VENTURA,111,0
NEVADA,32,CLARK,3,0
NEVADA,32,NYE,23,0
NEW MEXICO,35,CHAVES,5,21
NEW MEXICO,35,DONA ANA,13,0
NEW MEXICO,35,EDDY,15,0
NEW MEXICO,35,OTERO,35,354
NEW MEXICO,35,HIDALGO,23,26
NEW MEXICO,35,LUNA,29,65
NEW MEXICO,35,SIERRA,51,0
TEXAS,48,BELL,27,1
TEXAS,48,TOM GREEN,451,0
TEXAS,48,TERRY,445,0
TEXAS,48,CRANE,103,0
TEXAS,48,ECTOR,135,0
TEXAS,48,EL PASO,141,0
TEXAS,48,HUDSPETH,229,2
TEXAS,48,PRESIDIO,377,0
TEXAS,48,REEVES,389,0
UTAH,49,WASHINGTON,53,0
