FIPS,tot_acres
1001,104841
1003,180836
1005,215350
1007,42240
1009,138180
1011,173000
1013,90516
1015,70317
1017,130995
1019,163296
1021,96416
1023,64985
1025,49647
1027,86366
1029,46900
1031,133200
1033,143000
1035,128432
1037,32085
1039,165036
1041,127980
1043,182584
1045,118722
1047,223278
1049,219744
1051,79826
1053,107254
1055,90625
1057,60865
1059,128484
1061,160716
1063,107892
1065,149744
1067,157896
1069,187880
1071,252765
1073,29452
1075,88960
1077,181930
1079,209576
1081,73542
1083,254976
1085,202080
1087,115920
1089,185600
1091,197470
1093,112608
1095,156232
1097,108405
1099,160884
1101,179712
1103,139954
1105,147620
1107,117115
1109,149226
1111,122200
1113,112252
1115,80730
1117,54285
1119,204832
1121,98658
1123,81029
1125,115712
1127,65550
1129,69006
1131,157584
1133,43890
2010,707388
2020,39699
2090,101185
2110,846
2122,20922
4001,5535348
4003,1036068
4005,5512760
4007,1328023
4009,1215933
4011,23275
4012,235614
4013,502383
4015,753774
4017,4638711
4019,2275758
4021,1476208
4023,119188
4025,661570
4027,211998
5001,407949
5003,146055
5005,108576
5007,217316
5009,222732
5011,29032
5013,15946
5015,247696
5017,276298
5019,77976
5021,246915
5023,112476
5025,39312
5027,58642
5029,169071
5031,283353
5033,139230
5035,354939
5037,275200
5039,12638
5041,261600
5043,102440
5045,195490
5047,182094
5049,251328
5051,29109
5053,68250
5055,224192
5057,230140
5059,67402
5061,111054
5063,297850
5065,183680
5067,290020
5069,296250
5071,104517
5073,120384
5075,255962
5077,306527
5079,212667
5081,173641
5083,212576
5085,409071
5087,235796
5089,149591
5091,162000
5093,515900
5095,170498
5097,74704
5099,83850
5101,86260
5103,41540
5105,68478
5107,380640
5109,104650
5111,348823
5113,103252
5115,171780
5117,280602
5119,72038
5121,246318
5123,286116
5125,59660
5127,106384
5129,175344
5131,114296
5133,120930
5135,151200
5137,142274
5139,43945
5141,106403
5143,302256
5145,377136
5147,222585
5149,189475
6001,158403
6003,0
6005,132610
6007,388411
6009,221301
6011,466180
6013,208980
6015,0
6017,92708
6019,1660125
6021,484548
6023,544355
6025,736496
6027,257166
6029,2399529
6031,593056
6033,138278
6035,594142
6037,68940
6039,694015
6041,121890
6043,240560
6045,677625
6047,872022
6049,533778
6051,61061
6053,1338162
6055,242764
6057,64480
6059,37604
6061,85254
6063,100947
6065,361176
6067,257140
6069,544390
6071,36405
6073,177364
6075,126
6077,863189
6079,921648
6081,45000
6083,621063
6085,245025
6087,47892
6089,285600
6091,65464
6093,672685
6095,339624
6097,467647
6099,684090
6101,258100
6103,627776
6105,57129
6107,1310689
6109,127792
6111,300792
6113,478590
6115,160360
8001,638456
8003,141218
8005,269508
8007,174240
8009,1236096
8011,759200
8013,74340
8014,0
8015,63336
8017,963039
8019,9152
8021,169200
8023,364746
8025,290820
8027,99188
8029,187364
8031,0
8033,161304
8035,218638
8037,127022
8039,928988
8041,491249
8043,231540
8045,402670
8047,3420
8049,249645
8051,228105
8053,4896
8055,467277
8057,371392
8059,43542
8061,1127740
8063,1376258
8065,15048
8067,529308
8069,466560
8071,1805655
8073,1598830
8075,1126250
8077,268242
8079,16872
8081,994838
8083,686475
8085,285600
8087,592924
8089,529201
8091,86420
8093,225780
8095,440000
8097,36656
8099,802128
8101,833800
8103,466092
8105,174582
8107,670140
8109,302637
8111,0
8113,164880
8115,267813
8117,17287
8119,54320
8121,1381841
8123,1987072
8125,1510754
9001,42588
9003,45079
9005,85425
9007,18326
9009,27348
9011,68340
9013,35640
9015,50692
10001,187110
10003,73365
10005,262197
12001,198592
12003,19140
12005,70334
12007,61446
12009,145416
12011,13160
12013,119592
12015,99677
12017,51170
12019,37490
12021,177540
12023,89301
12027,294203
12029,51744
12031,20724
12033,79310
12035,72357
12037,0
12039,71394
12041,106506
12043,376216
12045,0
12047,71775
12049,290720
12051,586824
12053,66968
12055,389576
12057,201192
12059,83657
12061,167280
12063,256224
12065,189249
12067,105500
12069,163176
12071,91056
12073,69936
12075,198600
12077,35075
12079,159315
12081,219364
12083,289623
12085,179340
12086,69264
12087,0
12089,47402
12091,47508
12093,325280
12095,118200
12097,584215
12099,461016
12101,132090
12103,3795
12105,560235
12107,134750
12109,23638
12111,165640
12113,90036
12115,71786
12117,16960
12119,146327
12121,184860
12123,43248
12125,37506
12127,96180
12129,0
12131,91045
12133,50400
13001,118800
13003,75850
13005,77064
13007,113102
13009,25199
13011,57600
13013,21248
13015,69464
13017,40247
13019,127062
13021,7030
13023,32767
13025,33948
13027,206976
13029,25810
13031,195030
13033,214396
13035,22908
13037,138384
13039,8487
13043,80668
13045,91884
13047,18531
13049,19380
13051,7749
13053,304
13055,58850
13057,24128
13059,4464
13061,43143
13063,3289
13065,44714
13067,2852
13069,161759
13071,184470
13073,24970
13075,77700
13077,53136
13079,29520
13081,121264
13083,31320
13085,15810
13087,180604
13089,75
13091,84530
13093,214514
13095,54600
13097,7326
13099,156096
13101,27456
13103,42370
13105,76320
13107,117564
13109,44422
13111,11115
13113,7200
13115,73470
13117,15720
13119,68907
13121,9185
13123,31680
13125,13056
13127,1920
13129,77552
13131,110568
13133,46842
13135,5382
13137,27750
13139,43624
13141,49457
13143,26058
13145,44719
13147,70563
13149,33660
13151,14124
13153,54964
13155,116402
13157,64872
13159,55084
13161,46410
13163,151410
13165,74900
13167,66286
13169,27885
13171,39550
13173,48811
13175,155020
13177,111060
13179,7844
13181,27170
13183,17108
13185,84413
13187,23400
13189,56133
13191,15548
13193,118800
13195,76356
13197,59700
13199,92092
13201,113844
13205,205520
13207,49896
13209,56544
13211,97734
13213,41952
13215,5852
13217,38634
13219,38836
13221,80154
13223,17160
13225,43498
13227,16060
13229,85560
13231,37960
13233,51428
13235,61506
13237,41216
13239,12610
13241,6222
13243,103824
13245,18942
13247,8307
13249,30098
13251,168542
13253,75050
13255,16536
13257,13203
13259,76220
13261,160763
13263,30528
13265,11700
13267,127986
13269,84822
13271,49232
13273,168912
13275,208620
13277,91791
13279,69856
13281,5768
13283,34048
13285,39909
13287,83538
13289,40455
13291,30504
13293,36072
13295,77423
13297,55216
13299,67017
13301,22365
13303,97647
13305,51408
13307,70401
13309,52959
13311,20368
13313,34485
13315,85033
13317,83824
13319,24564
13321,218364
15001,603908
15003,60120
15007,130476
15009,258520
16001,113058
16003,145644
16005,420090
16007,209682
16009,130560
16011,898311
16013,259637
16015,66312
16017,97356
16019,406315
16021,73370
16023,99960
16025,186480
16027,277320
16029,416556
16031,657598
16033,206159
16035,66339
16037,113975
16039,296212
16041,276260
16043,275225
16045,199604
16047,212574
16049,544968
16051,262094
16053,180096
16055,107448
16057,325381
16059,131580
16061,249003
16063,104882
16065,166828
16067,308720
16069,344450
16071,327810
16073,729302
16075,171626
16077,444084
16079,1584
16081,112024
16083,459417
16085,45298
16087,428670
17001,423453
17003,62495
17005,161720
17007,124384
17009,163436
17011,455200
17013,106260
17015,262010
17017,156815
17019,545300
17021,350976
17023,249090
17025,227469
17027,276342
17029,214687
17031,10318
17033,234909
17035,161896
17037,353466
17039,180068
17041,217668
17043,840
17045,325314
17047,118001
17049,281520
17051,328746
17053,279616
17055,174114
17057,436189
17059,174474
17061,319759
17063,188784
17065,223212
17067,416880
17069,34176
17071,199863
17073,449580
17075,668552
17077,291460
17079,246734
17081,232500
17083,161000
17085,309287
17087,107920
17089,146592
17091,321768
17093,129071
17095,440832
17097,32130
17099,603924
17101,186584
17103,378024
17105,606712
17107,380030
17109,277676
17111,184644
17113,596688
17115,259350
17117,458185
17119,264550
17121,246680
17123,206711
17125,324576
17127,127050
17129,155572
17131,251160
17133,197210
17135,378896
17137,283128
17139,197760
17141,351977
17143,277909
17145,173877
17147,228150
17149,481514
17151,77356
17153,99766
17155,51792
17157,254448
17159,214268
17161,145034
17163,286798
17165,159165
17167,465132
17169,207214
17171,104664
17173,359700
17175,162966
17177,305388
17179,344124
17181,140634
17183,444969
17185,118236
17187,279840
17189,326390
17191,302736
17193,258664
17195,335670
17197,241020
17199,103592
17201,167913
17203,277166
18001,215325
18003,329340
18005,129014
18007,226200
18009,75299
18011,205524
18013,15386
18015,197079
18017,224715
18019,86089
18021,169128
18023,205666
18025,68442
18027,186960
18029,49400
18031,169464
18033,191412
18035,155848
18037,159840
18039,195372
18041,91188
18043,16705
18045,192720
18047,144113
18049,181896
18051,248517
18053,159493
18055,192272
18057,132352
18059,184325
18061,154440
18063,115328
18065,178120
18067,139629
18069,219906
18071,168746
18073,313120
18075,198648
18077,84132
18079,113406
18081,122200
18083,327204
18085,298883
18087,192972
18089,123532
18091,277570
18093,117196
18095,196416
18097,14534
18099,200982
18101,58017
18103,201677
18105,63269
18107,252588
18109,130548
18111,190092
18113,173921
18115,16359
18117,95200
18119,76125
18121,175066
18123,66303
18125,88443
18127,122430
18129,255948
18131,245388
18133,174720
18135,238950
18137,175350
18139,189673
18141,153160
18143,45280
18145,209884
18147,161820
18149,98894
18151,96349
18153,176730
18155,53901
18157,237808
18159,163488
18161,69064
18163,51816
18165,105051
18167,105328
